number,a_name,rim_type,shoulder_type,handles_profile,handle_section,neck_type,body_type,base_type,capacity,height_min,height_max,width_min,width_max,rim_diameter_min,rim_diameter_max,manufacture
113,Dressel 6A,Rounded,Carinated,Long vertical,Round,Cylindrical,Ovoid,Spike/tapered,Unsure,95,96,34,35,16,17,
114,Dressel 6B,Rounded,None/smooth,Short vertical,Ovoid/Elliptical,Conical,Piriform,Knobbed,Unsure,85,95,34,37,15,16,Dressel 6B fabric
115,Dressel 7,Collar,Rounded,Curved,Grooved,Cylindrical,Ovoid,Spike/tapered,Unsure,75,90,25,30,18,22,Cรกdiz fabric
117,Ramรณn 41,Collar,Rounded,Curved,Ridged,Cylindrical,Ovoid,Long hollow,Unsure,83,84,33,34,18,19,
119,Dressel 9,Flaring,Rounded,Ear-shaped,Ridged,Cylindrical,Piriform,Long hollow,Unsure,75,85,0,0,18,24,Cรกdiz fabric
120,Dressel 9 & 10 similis - Lyon,Flaring,Rounded,Arched,Bifid,Cylindrical,Piriform,Long hollow,Unsure,85,87,37,39,15,17,Lyon fabric
121,Dressel 20 similis - Oliva 3,Rounded,None/smooth,Curved,Round,Short/narrow,Globular,Rounded basal point,Unsure,0,0,0,0,0,0,Almadrava fabric
126,Egloff 172,None,Rounded,Ring,Ovoid/Elliptical,Cylindrical,Tapered,Knobbed,20-25 litres,72,90,25,26,10,12,LRA 7 fabric
129,Empoli,Rounded,Rounded,Curved,Grooved,Cylindrical,Tapered,Flat,Unsure,59,60,32,33,10,11,Empoli fabric
130,Forlimpopoli,Rounded,Rounded,Long vertical,Ridged,Conical,Ovoid,Flat,Unsure,71,73,36,37,7,9,Forlimpopoli fabric
132,Gauloise 12,Everted,None/smooth,Ring,Grooved,Short/narrow,Globular,Ringed,35-40 litres,24,50,0,0,7,18,Gauloise 12 fabric
133,Gauloise 1,Collar,None/smooth,Curved,Grooved,Short/narrow,Globular,Ringed,25-30 litres,47,53,38,44,14,16,Gauloise fabric
134,Gauloise 2,Collar,Rounded,Curved,Grooved,Conical,Globular,Ringed,25-30 litres,59,62,37,38,13,15,Gauloise 2 fabric
135,Gauloise 3,Collar,Rounded,Curved,Grooved,Short/narrow,Tapered,Flat,25-30 litres,57,64,32,35,13,14,Gauloise 3 fabric
136,Gauloise 4,Beaded,Rounded,Curved,Grooved,Short/narrow,Tapered,Ringed,Unsure,60,69,36,42,11,13,Gauloise fabric
137,Gauloise 4 similis - Almadrava 3,Rounded,Rounded,Arched,Grooved,Short/narrow,Tapered,Flat,Unsure,60,61,41,42,12,13,Almadrava fabric
138,Gauloise 1 similis in Verulamium White Ware,Flaring,None/smooth,Long vertical,Grooved,Hourglass,Ovoid,Ringed,Unsure,530,530,380,380,130,130,Gauloise 1 Verulamium White Ware fabric
140,Gauloise 5,Flaring,Rounded,Curved,Grooved,Cylindrical,Tapered,Flat,25-30 litres,45,63,27,38,12,17,Gauloise fabric
141,Greco-Italic,Triangular,Carinated,Long vertical,Ovoid/Elliptical,Cylindrical,Tapered,Spike/tapered,20-25 litres,82,83,40,41,20,21,Greco-Italic fabrics
148,Haltern 70,Everted,Rounded,Curved,Grooved,Short/narrow,Cylindrical,Spike/tapered,30-35 litres,85,90,30,32,14,18,Haltern 70 fabric
149,Haltern 70 similis - Verulamium 1908,Everted,None/smooth,Long vertical,Grooved,Hourglass,Cylindrical,Spike/tapered,Unsure,90,94,22,26,15,16,Dressel 20 fabric
152,Haltern 70 similis - RhĂ´ne Valley,Everted,Rounded,Bowed,Grooved,Hourglass,Tapered,Spike/tapered,Unsure,98,99,24,25,13,14,Lyon fabric
153,Hammamet 1,Flaring,Rounded,Curved,Ovoid/Elliptical,Cylindrical,Cylindrical,Long hollow,55-60 litres,105,115,33,37,16,18,Hammamet fabric
154,Kapitän 2,Rounded,Rounded,Arched,Ovoid/Elliptical,Conical,Tapered,Long hollow,Unsure,75,77,0,0,6,7,Kapitän 2 fabric
155,Kapitän 1,Rounded,Rounded,Long vertical,Round,Cylindrical,Tapered,Spike/tapered,Unsure,107,108,28,29,13,14,Kapitän 1 fabric
160,Keay 51,Rounded,Rounded,Ring,Ovoid/Elliptical,Cylindrical,Piriform,Button,Unsure,76,83,33,37,11,11,Tunisian fabric
161,Keay 52,Pulley wheel,Rounded,Curved,Ovoid/Elliptical,Cylindrical,Ovoid,Flat,Unsure,49,50,24,24,9,9,Keay 52 fabric
163,Keay 59,Flanged,Rounded,Curved,Ovoid/Elliptical,Cylindrical,Cylindrical,Spike/tapered,Unsure,95,95,35,35,14,15,Tunisian fabric
164,Keay 55,Rounded,Rounded,Ear-shaped,Ovoid/Elliptical,Cylindrical,Cylindrical,Button,65-70 litres,0,0,35,37,11,12,Tunisian fabric
166,Keay 57,Rounded,Rounded,Ear-shaped,Ovoid/Elliptical,Conical,Cylindrical,Spike/tapered,Unsure,105,107,38,40,11,14,Tunisian fabric
167,"Keay 61 A, B & D",Everted,Rounded,Curved,Ovoid/Elliptical,Conical,Cylindrical,Spike/tapered,85-90 litres,111,112,38,41,13,14,Tunisian fabric
168,"Keay 62A, D & E",Everted,Rounded,Ear-shaped,Ovoid/Elliptical,Conical,Cylindrical,Spike/tapered,60-65 litres,103,106,37,40,13,15,Tunisian fabric
169,Sidi Jdidi 1,Rounded,Rounded,Ear-shaped,Ovoid/Elliptical,Conical,Cylindrical,Spike/tapered,Unsure,123,125,56,58,15,15,Tunisian fabric
175,Keay 78,Rounded,Rounded,Curved,Ovoid/Elliptical,Short/narrow,Cylindrical,Button,20-25 litres,85,90,0,22,0,14,Keay 78 fabric
182,Keay 8A,Rounded,Rounded,Curved,Ovoid/Elliptical,Cylindrical,Cylindrical,Spike/tapered,Unsure,0,0,0,0,14,15,Tunisian fabric
191,Keay 40,Rounded,Rounded,Short vertical,Semi-circular,Hourglass,Cylindrical,Spike/tapered,Unsure,0,0,0,0,13,13,Tunisian fabric
192,Keay 41,Triangular,Rounded,Ear-shaped,Ovoid/Elliptical,Short/narrow,Cylindrical,Button,Unsure,98,98,41,41,13,13,Keay 41 fabric
196,Keay 47,Everted,Rounded,Short vertical,Ovoid/Elliptical,Short/narrow,Cylindrical,Spike/tapered,Unsure,88,88,36,36,11,12,
208,Africana 3A,Everted,Rounded,Ear-shaped,Ovoid/Elliptical,Conical,Cylindrical,Spike/tapered,25-30 litres,93,125,22,28,11,15,Tunisian fabric
209,Keay 27,Everted,Rounded,Short vertical,Ovoid/Elliptical,Hourglass,Cylindrical,Knobbed,45-50 litres,110,120,28,31,12,13,Tunisian fabric
215,Keay 34,Rounded,Rounded,Ear-shaped,Ovoid/Elliptical,Cylindrical,Cylindrical,Knobbed,Unsure,124,130,0,0,15,15,Tunisian fabric
216,Keay 39,Everted,Rounded,Ear-shaped,Ovoid/Elliptical,Hourglass,Cylindrical,Spike/tapered,Unsure,0,0,0,0,12,13,Keay 39 fabric
218,Keay 35A,Rounded,Rounded,Ear-shaped,Ovoid/Elliptical,Conical,Cylindrical,Knobbed,Unsure,107,114,40,42,13,14,Tunisian fabric
219,Keay 35B,Everted,Rounded,Curved,Ovoid/Elliptical,Conical,Cylindrical,Knobbed,45-50 litres,99,120,34,49,13,16,Tunisian fabric
227,Kuzmanov 9,Everted,Rounded,Curved,Ovoid/Elliptical,Cylindrical,Tapered,Pointed,10-15 litres,0,0,0,0,6,8,Kuzmanov 9
228,Kuzmanov 15,Rounded,Rounded,Curved,Ovoid/Elliptical,Cylindrical,Tapered,Knobbed,0-10 litres,41,53,11,12,8,10,OpaiĹŁ E4 fabric
229,Lamboglia 2,Collar,Carinated,Long vertical,Ovoid/Elliptical,Cylindrical,Ovoid,Rounded,Unsure,0,0,41,42,16,17,Dressel 6A fabric
236,Late Roman Amphora 1,Rounded,Rounded,Curved,Round,Cylindrical,Cylindrical,Rounded,Unsure,50,58,30,31,9,11,LRA 1 fabric
237,Late Roman amphora 13,Everted,Rounded,Curved,Ovoid/Elliptical,Conical,Ovoid,Rounded,Unsure,47,48,25,26,5,6,LRA 13 fabric
